ELE# 1 : 0.250000 m
+0.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +9.999998e-01 +2.000003e-02 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +1.990990e-02
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00
ELE# 29 : 0.878400 m
+9.999999e-01 +2.999996e-02 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +1.000000e+00 +2.999999e-02 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +2.986490e-02
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00
ELE# 30 : 1.118400 m
+1.049467e+00 +2.455250e-01 +7.270611e-06 +2.142068e-05 +9.688433e-08 -1.022649e-08
+4.129203e-01 +1.049468e+00 +6.531712e-05 +1.808121e-04 -5.794113e-07 -2.488435e-07
-3.748792e-06 -2.117776e-05 +1.050017e+00 +2.455920e-01 -4.186589e-04 +3.026707e-05
-3.551021e-05 -1.772831e-04 +4.175080e-01 +1.050017e+00 -3.547938e-04 +6.292903e-04
-1.832040e-10 +2.971207e-09 -1.393608e-04 -5.839047e-06 +9.033875e-01 +2.287519e-01
-5.267124e-09 +2.253273e-08 +3.004491e-05 +9.319598e-05 -8.038968e-01 +9.033852e-01
ELE# 31 : 1.148400 m
+1.000000e+00 +3.000000e-02 -4.652592e-11 +2.836371e-11 -4.229050e-14 -2.121153e-14
+5.005090e-17 +1.000000e+00 +2.338608e-20 -1.060283e-20 +0.000000e+00 +0.000000e+00
-2.472884e-11 -4.538623e-12 +1.000000e+00 +2.999997e-02 +3.564339e-11 +3.795158e-12
-5.074722e-20 -3.011934e-20 -5.734721e-17 +1.000000e+00 +2.710505e-19 +1.084202e-19
+6.513491e-15 -1.852264e-14 +3.264958e-11 -4.545696e-11 +1.000000e+00 +2.986525e-02
-1.364848e-23 +6.617445e-24 -2.032879e-20 +4.065758e-20 +0.000000e+00 +1.000000e+00
ELE# 32 : 1.150000 m
+9.999997e-01 +1.600007e-03 -4.649700e-12 +9.595379e-12 +1.518167e-14 -1.275367e-14
-2.087308e-16 +1.000000e+00 -6.889006e-21 -6.806598e-21 -1.058791e-22 +0.000000e+00
+4.973049e-13 +2.535859e-11 +9.999998e-01 +1.600178e-03 -8.648442e-11 -2.485800e-11
+3.452763e-20 -5.979077e-20 +2.660670e-16 +1.000000e+00 +1.084202e-19 +1.084202e-19
-2.929084e-15 +1.019965e-14 -7.005033e-12 +1.553053e-11 +9.999998e-01 +1.592546e-03
-5.376674e-24 -1.323489e-23 -5.421011e-20 +3.726945e-20 -5.551115e-17 +1.000000e+00
ELE# 33 : 1.200000 m
+1.000000e+00 +4.999999e-02 +4.244346e-11 -2.380885e-11 +1.077637e-14 +1.246228e-14
-4.518081e-18 +1.000000e+00 -1.195249e-20 +1.572715e-20 +0.000000e+00 +0.000000e+00
-9.004639e-13 -1.814485e-11 +1.000000e+00 +4.999989e-02 -2.572785e-12 +1.343239e-11
+9.311689e-20 +5.101946e-20 +5.508749e-16 +1.000000e+00 -1.084202e-19 -5.421011e-20
-2.259371e-15 +1.358260e-15 -1.490240e-11 +1.545921e-11 +1.000000e+00 +4.977478e-02
-8.271806e-24 -1.654361e-24 -2.371692e-20 +6.098637e-20 -2.775558e-17 +1.000000e+00
ELE# 34 : 1.200000 m
+1.000000e+00 +6.595637e-18 +6.998124e-22 -7.876966e-21 -1.323489e-23 +1.654361e-23
-1.183006e-16 +1.000000e+00 +2.170952e-20 -9.877092e-21 -1.058791e-22 +0.000000e+00
-1.381578e-20 +5.100049e-20 +1.000000e+00 +2.982897e-16 -3.794708e-19 -1.084202e-19
